Samples	DBS1	DBS19
TCGA-ER-A195	8	0
TCGA-ER-A198	22	0
TCGA-ER-A199	7	0
TCGA-ER-A19A	2	0
TCGA-ER-A19D	18	0
TCGA-ER-A19E	16	0
TCGA-ER-A19F	33	0
TCGA-ER-A19G	15	0
TCGA-ER-A19H	7	0
TCGA-ER-A19J	3	0
TCGA-ER-A19L	2	0
TCGA-ER-A19M	14	0
TCGA-ER-A19N	18	0
TCGA-ER-A19P	3	0
TCGA-ER-A19Q	4	0
TCGA-ER-A19S	4	0
TCGA-ER-A19W	15	0
TCGA-ER-A1A1	1	0
TCGA-ER-A2NC	17	0
TCGA-ER-A2NG	8	0
TCGA-ER-A2NH	6	0
TCGA-ER-A3ET	2	0
TCGA-ER-A3PL	13	0
TCGA-ER-A42K	8	0
TCGA-ER-A42L	24	0
TCGA-FR-A3YN	17	0
TCGA-FR-A3YO	20	0
TCGA-FR-A44A	14	0
TCGA-FR-A69P	4	0
TCGA-FR-A729	13	0
TCGA-FR-A7U8	0	1
TCGA-FR-A7U9	40	0
TCGA-FR-A7UA	0	2
TCGA-FR-A8YC	66	0
TCGA-FR-A8YD	0	3
TCGA-FR-A8YE	9	0
TCGA-FS-A1YW	4	0
TCGA-FS-A1YX	2	0
TCGA-FS-A1YY	3	0
TCGA-FS-A1Z0	8	0
TCGA-FS-A1Z3	22	0
TCGA-FS-A1Z7	6	0
TCGA-FS-A1ZA	39	0
TCGA-FS-A1ZB	3	0
TCGA-FS-A1ZC	24	0
TCGA-FS-A1ZD	7	0
TCGA-FS-A1ZE	3	0
TCGA-FS-A1ZF	12	0
TCGA-FS-A1ZK	71	0
TCGA-FS-A1ZM	15	0
TCGA-FS-A1ZP	5	0
TCGA-FS-A1ZQ	3	7
TCGA-FS-A1ZR	3	0
TCGA-FS-A1ZS	16	0
TCGA-FS-A1ZT	0	1
TCGA-FS-A1ZW	17	0
TCGA-FS-A1ZY	0	1
TCGA-FS-A1ZZ	35	0
TCGA-FS-A4F0	34	0
TCGA-FS-A4F2	17	0
TCGA-FS-A4F5	21	0
TCGA-FS-A4F8	5	0
TCGA-FS-A4F9	7	0
TCGA-FS-A4FB	8	0
TCGA-FS-A4FC	11	0
TCGA-FS-A4FD	9	0
TCGA-FW-A3R5	456	0
TCGA-FW-A3TU	63	0
TCGA-FW-A3TV	13	0
TCGA-FW-A5DY	2	0
TCGA-GF-A3OT	20	0
TCGA-GF-A4EO	5	0
TCGA-GF-A6C8	13	0
TCGA-GF-A6C9	43	0
TCGA-GN-A262	27	0
TCGA-GN-A265	6	0
