Samples	SBS1	SBS5	SBS7a	SBS7b	SBS10b	SBS15	SBS19	SBS31	SBS87
TCGA-DA-A3F3	12	8	164	117	48	0	0	0	0
TCGA-DA-A3F5	12	49	103	181	0	0	0	0	43
TCGA-DA-A3F8	57	0	695	667	0	0	0	0	0
TCGA-DA-A95V	17	34	126	135	0	0	0	0	0
TCGA-DA-A95W	8	16	50	106	0	0	0	0	0
TCGA-DA-A95X	14	32	270	220	77	0	0	0	0
TCGA-DA-A95Y	22	41	206	209	0	0	0	0	0
TCGA-DA-A95Z	62	7	1077	863	288	0	0	0	0
TCGA-EB-A44Q	8	23	10	6	0	0	0	0	0
TCGA-EB-A44R	23	36	0	0	0	0	0	0	0
TCGA-EB-A5KH	13	16	0	0	0	0	10	0	0
TCGA-EB-A5SG	8	33	120	133	0	0	0	0	0
TCGA-EB-A5SH	8	87	0	0	0	0	0	0	0
TCGA-EB-A5UL	25	55	171	277	0	0	0	0	0
TCGA-EB-A5UN	36	89	257	476	0	0	0	0	0
TCGA-EB-A6L9	2	14	0	0	0	5	0	0	0
TCGA-EE-A17X	43	37	477	407	0	0	0	0	0
TCGA-EE-A17Y	3	22	79	89	0	0	0	0	0
TCGA-EE-A17Z	1	15	0	0	0	0	6	0	0
TCGA-EE-A180	27	34	209	295	62	0	0	0	0
TCGA-EE-A181	63	74	1270	1812	0	0	0	0	0
TCGA-EE-A182	30	43	836	671	197	0	0	0	0
TCGA-EE-A183	25	22	368	368	0	0	0	0	0
TCGA-EE-A184	0	209	0	0	0	106	0	0	0
TCGA-EE-A185	19	0	90	114	0	0	0	0	0
TCGA-EE-A20B	5	16	89	102	0	0	0	0	0
TCGA-EE-A20C	92	175	837	1391	0	0	0	0	0
TCGA-EE-A20F	5	6	224	272	47	0	0	0	0
TCGA-EE-A20H	21	40	279	309	68	0	0	0	0
TCGA-EE-A20I	4	1	0	0	0	0	0	13	0
TCGA-EE-A29A	10	3	119	179	0	0	0	0	0
TCGA-EE-A29B	18	62	331	252	0	0	0	0	0
TCGA-EE-A29C	14	21	136	270	50	0	0	0	0
TCGA-EE-A29D	167	0	1924	2478	0	0	0	0	0
TCGA-EE-A29E	119	33	2144	1874	0	0	0	0	0
TCGA-EE-A29G	6	50	149	172	0	0	0	0	0
TCGA-EE-A29H	8	0	144	178	39	0	0	0	0
TCGA-EE-A29L	83	109	1011	1138	0	0	0	0	0
TCGA-EE-A29M	70	1	1412	1336	0	0	0	0	0
TCGA-EE-A29N	37	88	193	420	0	0	0	0	0
TCGA-EE-A29P	15	11	132	206	0	0	0	0	0
TCGA-EE-A29Q	5	27	118	159	43	0	0	0	0
TCGA-EE-A29R	15	20	343	359	71	0	0	0	0
TCGA-EE-A29S	38	94	548	587	0	0	0	0	0
TCGA-EE-A29T	36	35	203	125	53	0	0	0	0
TCGA-EE-A29V	39	66	374	769	0	0	0	0	0
TCGA-EE-A29W	7	10	17	43	9	0	0	0	0
TCGA-EE-A29X	3	14	76	82	0	0	0	0	0
TCGA-EE-A2A0	15	18	245	174	0	0	0	0	0
TCGA-EE-A2A1	18	20	201	208	0	0	0	0	0
TCGA-EE-A2A2	61	106	636	990	0	0	0	0	0
TCGA-EE-A2A5	15	35	133	202	0	0	0	0	0
TCGA-EE-A2A6	4	20	128	156	49	0	0	0	0
TCGA-EE-A2GB	23	33	322	399	0	0	0	0	0
TCGA-EE-A2GC	98	120	1183	1392	0	0	0	0	0
TCGA-EE-A2GD	24	37	353	232	0	0	0	0	0
TCGA-EE-A2GE	2	29	82	165	0	0	0	0	0
TCGA-EE-A2GH	13	20	170	166	0	0	0	0	0
TCGA-EE-A2GI	58	112	761	899	0	0	0	0	0
TCGA-EE-A2GJ	47	100	635	639	0	0	0	0	0
TCGA-EE-A2GL	12	1	127	271	0	0	0	0	0
TCGA-EE-A2GM	34	39	327	470	0	0	0	0	0
TCGA-EE-A2GN	7	43	152	292	0	0	0	0	0
TCGA-EE-A2GO	93	66	842	1422	0	0	0	0	0
TCGA-EE-A2GP	44	13	352	352	0	0	0	0	0
TCGA-EE-A2GR	57	73	611	1165	0	0	0	0	0
TCGA-EE-A2GS	25	23	182	173	0	0	0	0	0
TCGA-EE-A2GT	30	2	173	183	0	0	0	0	0
TCGA-EE-A2GU	22	0	364	313	0	0	0	0	0
TCGA-EE-A2M5	45	73	693	1428	177	0	0	0	0
TCGA-EE-A2M6	21	18	269	334	0	0	0	0	0
TCGA-EE-A2M7	7	35	19	0	9	0	0	0	0
TCGA-EE-A2M8	5	21	58	29	0	0	0	0	0
TCGA-EE-A2MC	18	33	336	376	144	0	0	0	0
TCGA-EE-A2MD	31	0	864	883	233	0	0	0	0
TCGA-EE-A2ME	0	6	0	21	0	0	0	0	0
TCGA-EE-A2MF	31	73	493	305	0	0	0	0	0
TCGA-EE-A2MG	8	10	91	122	0	0	0	0	0
TCGA-EE-A2MH	10	19	42	97	0	0	0	0	0
TCGA-EE-A2MI	42	30	661	559	0	0	0	0	0
TCGA-EE-A2MJ	25	0	1021	884	187	0	0	0	0
TCGA-EE-A2MK	6	46	159	133	0	0	0	0	0
TCGA-EE-A2ML	24	59	211	368	0	0	0	0	0
TCGA-EE-A2MM	33	0	274	331	0	0	0	0	0
TCGA-EE-A2MN	11	1	84	40	0	0	0	48	0
TCGA-EE-A2MP	11	46	84	165	32	0	0	0	0
TCGA-EE-A2MQ	12	27	71	161	36	0	0	0	0
TCGA-EE-A2MR	58	17	1765	1268	669	0	0	0	0
TCGA-EE-A2MS	119	88	1269	2009	0	0	0	0	0
TCGA-EE-A2MT	47	0	411	652	0	0	0	0	0
TCGA-EE-A2MU	25	39	358	347	0	0	0	0	0
TCGA-EE-A3AA	26	48	572	799	0	0	0	0	0
TCGA-EE-A3AB	0	386	135	263	0	0	0	0	0
TCGA-EE-A3AC	41	47	487	599	0	0	0	0	0
TCGA-EE-A3AD	19	48	166	280	0	0	0	0	0
TCGA-EE-A3AE	70	4	947	739	0	0	0	0	0
TCGA-EE-A3AF	41	47	337	769	0	0	0	0	0
TCGA-EE-A3AG	64	74	763	1114	0	0	0	0	0
TCGA-EE-A3AH	12	7	178	257	0	0	0	0	0
TCGA-EE-A3J3	20	24	38	106	19	0	0	0	0
TCGA-EE-A3J4	22	56	155	121	0	0	0	0	0
TCGA-EE-A3J5	87	81	1124	1267	0	0	0	0	0
TCGA-EE-A3J7	64	133	277	716	0	0	0	0	0
TCGA-EE-A3J8	5	7	180	97	33	0	0	0	0
TCGA-EE-A3JA	46	0	703	497	0	0	0	0	0
TCGA-EE-A3JB	29	97	238	389	0	0	0	0	0
TCGA-EE-A3JD	21	49	948	996	205	0	0	0	0
TCGA-EE-A3JE	9	50	71	161	0	0	0	0	0
TCGA-EE-A3JH	11	29	82	84	0	0	0	0	0
TCGA-EE-A3JI	47	161	481	632	0	0	0	0	0
TCGA-ER-A193	56	49	956	1019	211	0	0	0	0
TCGA-ER-A195	6	0	131	138	32	0	0	0	0
TCGA-ER-A197	11	33	0	0	0	0	0	0	0
TCGA-ER-A198	31	56	177	311	0	0	0	0	0
TCGA-ER-A199	10	14	134	153	0	0	0	0	0
TCGA-ER-A19A	0	3	102	78	0	0	0	0	0
TCGA-ER-A19B	4	94	10	11	0	0	0	0	0
TCGA-ER-A19C	2	6	56	38	0	0	0	0	0
TCGA-ER-A19D	23	31	174	282	60	0	0	0	0
TCGA-ER-A19E	14	76	195	189	62	0	0	0	0
TCGA-ER-A19F	30	25	464	621	0	0	0	0	0
TCGA-ER-A19G	25	40	207	346	0	0	0	0	0
TCGA-ER-A19H	13	0	83	179	37	0	0	0	0
TCGA-ER-A19J	18	2	126	103	0	0	0	0	0
TCGA-ER-A19L	2	7	24	33	0	0	0	0	0
TCGA-ER-A19M	25	29	218	316	0	0	0	0	0
TCGA-ER-A19N	7	21	215	278	0	0	0	0	0
TCGA-ER-A19O	3	5	86	88	29	0	0	0	0
TCGA-ER-A19P	1	16	62	113	0	0	0	0	0
TCGA-ER-A19Q	7	0	38	70	30	0	0	0	0
TCGA-ER-A19S	8	30	96	90	0	0	0	0	0
TCGA-ER-A19T	17	47	0	0	0	0	0	30	0
TCGA-ER-A19W	19	63	163	155	0	0	0	0	0
TCGA-ER-A1A1	0	0	0	42	0	0	17	0	0
TCGA-ER-A2NC	21	23	201	229	0	0	0	0	0
TCGA-ER-A2ND	14	45	33	31	0	0	0	0	0
TCGA-ER-A2NE	3	25	52	68	0	0	0	0	0
TCGA-ER-A2NG	7	27	119	147	0	0	0	0	0
TCGA-ER-A2NH	11	0	169	176	0	0	0	0	0
TCGA-ER-A3ES	9	6	0	0	6	0	0	0	0
TCGA-ER-A3ET	15	61	9	10	0	0	0	0	0
TCGA-ER-A3EV	19	64	0	0	0	0	0	0	0
TCGA-ER-A3PL	14	0	127	299	0	0	0	0	0
TCGA-ER-A42K	11	40	70	126	0	0	0	0	0
TCGA-ER-A42L	9	0	602	448	0	0	0	0	0
TCGA-FR-A3YN	17	20	261	293	95	0	0	0	0
TCGA-FR-A3YO	22	0	419	454	120	0	0	0	0
TCGA-FR-A44A	14	54	108	153	32	0	0	0	0
TCGA-FR-A69P	7	0	95	117	41	0	0	0	0
TCGA-FR-A729	13	5	498	413	113	0	0	0	0
TCGA-FR-A7U8	8	15	0	0	0	14	0	0	0
TCGA-FR-A7U9	50	0	1006	849	215	0	0	0	0
TCGA-FR-A7UA	0	0	127	55	0	0	0	0	0
TCGA-FR-A8YC	56	97	1534	1492	359	0	0	0	0
TCGA-FR-A8YD	4	89	17	0	0	0	0	0	0
TCGA-FR-A8YE	7	15	191	162	0	0	0	0	0
TCGA-FS-A1YW	14	9	84	75	0	0	0	0	0
TCGA-FS-A1YX	0	5	0	11	0	10	0	0	0
TCGA-FS-A1YY	15	0	95	132	0	0	0	0	0
TCGA-FS-A1Z0	19	40	117	136	0	0	0	0	0
TCGA-FS-A1Z3	18	29	488	541	147	0	0	0	0
TCGA-FS-A1Z4	2	0	19	17	0	0	0	0	0
TCGA-FS-A1Z7	17	0	106	98	0	0	0	0	0
TCGA-FS-A1ZA	27	25	671	537	178	0	0	0	0
TCGA-FS-A1ZB	3	0	103	122	26	0	0	0	0
TCGA-FS-A1ZC	19	26	337	389	83	0	0	0	0
TCGA-FS-A1ZD	10	46	101	138	0	0	0	0	0
TCGA-FS-A1ZE	10	29	69	38	19	0	0	0	0
TCGA-FS-A1ZF	10	30	75	106	21	0	0	0	0
TCGA-FS-A1ZG	8	17	0	0	0	10	0	0	0
TCGA-FS-A1ZH	1	0	0	0	8	6	0	11	8
TCGA-FS-A1ZJ	15	48	0	0	0	0	0	0	0
TCGA-FS-A1ZK	46	102	450	1281	0	0	0	0	0
TCGA-FS-A1ZM	16	25	75	163	0	0	0	0	0
TCGA-FS-A1ZP	11	0	268	151	68	0	0	0	0
TCGA-FS-A1ZQ	22	1	311	246	0	0	0	0	0
TCGA-FS-A1ZR	7	0	65	88	0	0	0	0	0
TCGA-FS-A1ZS	19	42	127	143	0	0	0	0	0
TCGA-FS-A1ZT	10	3	99	86	0	0	0	0	0
TCGA-FS-A1ZU	4	15	0	0	8	10	0	0	9
TCGA-FS-A1ZW	18	32	291	318	116	0	0	0	0
TCGA-FS-A1ZY	0	0	0	0	0	8	0	17	11
TCGA-FS-A1ZZ	23	0	934	630	250	0	0	0	0
TCGA-FS-A4F0	26	52	225	347	0	0	0	0	0
TCGA-FS-A4F2	16	5	413	275	121	0	0	0	0
TCGA-FS-A4F4	1	16	8	0	0	7	0	0	13
TCGA-FS-A4F5	13	0	381	392	120	0	0	0	0
TCGA-FS-A4F8	10	16	83	87	0	0	0	0	0
TCGA-FS-A4F9	18	24	244	218	0	0	0	0	0
TCGA-FS-A4FB	6	10	78	97	25	0	0	0	0
TCGA-FS-A4FC	27	8	363	369	92	0	0	0	0
TCGA-FS-A4FD	6	0	268	201	54	0	0	0	0
TCGA-FW-A3I3	21	38	0	0	0	0	0	0	0
TCGA-FW-A3R5	464	13	8084	10418	3431	0	0	0	0
TCGA-FW-A3TU	47	93	304	495	0	0	0	0	0
TCGA-FW-A3TV	8	20	158	156	58	0	0	0	0
TCGA-FW-A5DY	7	0	90	56	0	0	0	0	0
TCGA-GF-A3OT	19	29	180	355	74	0	0	0	0
TCGA-GF-A4EO	8	25	103	147	0	0	0	0	0
TCGA-GF-A6C8	13	18	154	215	46	0	0	0	0
TCGA-GF-A6C9	108	79	1867	1189	0	0	0	0	0
TCGA-GN-A262	17	4	83	318	0	0	0	0	0
TCGA-GN-A264	2	32	0	0	10	0	0	0	0
TCGA-GN-A265	1	26	58	143	0	0	0	0	0
TCGA-GN-A266	89	0	2429	1635	492	0	0	0	0
TCGA-GN-A267	25	44	162	282	0	0	0	0	0
